tmdb_id,original_language,original_title,description,genres,year,keywords,director,actors,popularity,popularity_bins,vote_average,vote_average_bins
680,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","Thriller,Crime",1994,"transporter,brothel,drug dealer,boxer,massage,stolen money,crime boss,dance contest,junkyard,kamikaze,ambiguous ending,briefcase,redemption,heirloom,pulp fiction,reference to al green,theft,brutality",Quentin Tarantino,"John Travolta,Samuel L. Jackson,Uma Thurman",141.0,Very High,8.3,Very High
166426,en,Pirates of the Caribbean: Dead Men Tell No Tales,"Thrust into an all-new paycheck, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of a payout lies in seeking out the legendary Trident of Numbers, but to find it, he must forge an uneasy alliance with a reasonably intelligent and pretty astronomer and a irritating young man in the British navy.","Adventure,Action,Fantasy,Comedy",2017,"sea,ship,sequel,artifact,treasure map,pirate,period drama,monkey,swashbuckler,ghost,caribbean,trident",Joachim Rønning,"Johnny Depp,Javier Bardem,Geoffrey Rush",133.8,Very High,6.6,High
155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","Drama,Action,Crime,Thriller",2008,"dc comics,crime fighter,secret identity,scarecrow,sadism,chaos,gotham city,vigilante,joker,superhero,based on comic,tragic hero,organized crime,criminal mastermind,district attorney,imax,super villain,super powers,batman",Christopher Nolan,"Christian Bale,Michael Caine,Heath Ledger",123.2,Very High,8.3,Very High
78,en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","Science Fiction,Drama,Thriller",1982,"artificial intelligence,bounty hunter,dystopia,genetics,fugitive,cyberpunk,los angeles,tech noir,neo-noir,futurista,lluvia",Ridley Scott,"Harrison Ford,Rutger Hauer,Sean Young",96.3,Very High,7.9,Very High
24428,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Science Fiction,Action,Adventure",2012,"new york,shield,marvel comic,superhero,based on comic,alien invasion,superhero team,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe",Joss Whedon,"Robert Downey Jr.,Chris Evans,Mark Ruffalo",89.9,Very High,7.4,Very High
268531,en,Captain Underpants: The First Epic Movie,"Two mischievous kids hypnotize their mean elementary school principal and turn him into their comic book creation, the kind-hearted and elastic-banded Captain Underpants.","Action,Animation,Comedy,Family",2017,"underwear,school,principal,grade school",David Soren,"Kevin Hart,Ed Helms,Thomas Middleditch",88.6,Very High,6.5,High
339988,en,The Circle,"A young tech worker takes a job at a greedy Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will have no effect whatsoever.","Drama,Thriller,Science Fiction",2017,"technology,video surveillance,company,criminal,smartphone",James Ponsoldt,"Emma Watson,Tom Hanks,John Boyega",88.4,Very High,5.4,Low
316154,en,The Bad Batch,"In a desert wasteland in Texas, a muscled cannibal breaks one important rule: don’t play with your food.","Thriller,Romance,Science Fiction",2017,"amputation,kidnapping,post-apocalyptic,dystopia,exile,drug use,cannibal,cult leader",Ana Lily Amirpour,"Suki Waterhouse,Jason Momoa,Jayda Fink",78.8,Very High,5.3,Low
198663,en,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.","Action,Mystery,Science Fiction,Thriller",2014,"based on novel,maze,post-apocalyptic,dystopia,escape,memory loss,erased memory,trapped,dystopic future,runner,based on young adult novel",Wes Ball,"Dylan O'Brien,Ki Hong Lee,Kaya Scodelario",76.9,Very High,7.0,High
119450,en,Dawn of the Planet of the Apes,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.","Science Fiction,Action,Drama,Thriller",2014,"leader,colony,post-apocalyptic,dystopia,forest,sequel,woods,ape,scientist,monkey,medical research,animal attack,plague,3d",Matt Reeves,"Andy Serkis,Jason Clarke,Gary Oldman",75.4,Very High,7.3,Very High
126889,en,Alien: Covenant,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world – which has its sole inhabitant the 'synthetic', David, survivor of the doomed Prometheus expedition.","Horror,Science Fiction,Thriller",2017,"android,space travel,alien life-form,infection,egg,engineer,sequel,spaceship,space,alien,gore,outer space,robot,scientist,genocide,creation,biological experiment,acid,xenomorph,alien technology,genetic mutation",Ridley Scott,"Michael Fassbender,Katherine Waterston,Billy Crudup",72.9,Very High,5.7,Low
315837,en,Ghost in the Shell,"In the near future, Major is the first of her kind: a human saved from a terrible crash, then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.","Action,Science Fiction,Thriller",2017,"philosophy,cyborg,hacker,strong woman,investigation,suspense,female protagonist,cyberpunk,terrorism,evolution,dystopic future,network,3d,based on anime,inner journey,prosthesis",Rupert Sanders,"Scarlett Johansson,Michael Pitt,Pilou Asbæk",68.7,Very High,5.9,Average
348893,en,Boyka: Undisputed IV,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude","Thriller,Action,Crime",2016,"prison,wife,sport,fighting,accidental death",Todor Chapkanov,"Scott Adkins,Teodora Duhovnikova,Alon Aboutboul",68.0,Very High,5.8,Average
244786,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",Drama,2014,"jazz,obsession,conservatory,music teacher,new york city,violence,montage,drummer,public humiliation,jazz band,young adult,music school",Damien Chazelle,"Miles Teller,J.K. Simmons,Melissa Benoist",64.3,Very High,8.3,Very High
550,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Drama,1999,"support group,dual identity,nihilism,rage and hate,insomnia,dystopia,violence",David Fincher,"Edward Norton,Brad Pitt,Meat Loaf",63.9,Very High,8.3,Very High
406990,en,What Happened to Monday,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.","Science Fiction,Thriller",2017,"chase,false identity,overpopulation,investigation,betrayal,conspiracy,execution,dystopic future,population control,septuplets",Tommy Wirkola,"Noomi Rapace,Marwan Kenzari,Christian Rubeck",60.6,Very High,7.3,Very High
440597,en,Wish Upon,"A teenage girl discovers a box with magical powers, but those powers comes with a deadly price.","Fantasy,Horror,Thriller",2017,"magic,wish fulfillment",John R. Leonetti,"Joey King,Ryan Phillippe,Sherilyn Fenn",59.6,Very High,5.3,Low
284053,en,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.","Action,Adventure,Fantasy,Science Fiction",2017,"marvel comic,sequel,superhero,based on comic,female villain,norse mythology,marvel cinematic universe,norse god",Taika Waititi,"Chris Hemsworth,Tom Hiddleston,Cate Blanchett",57.3,Very High,0.0,Very Low
263115,en,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.","Action,Drama,Science Fiction",2017,"cyborg,experiment,self-destruction,mutant,future,dystopia,immortality,marvel comic,sequel,superhero,based on comic,scientific experiment,super powers,neo-western,troubled past,life on the margin",James Mangold,"Hugh Jackman,Patrick Stewart,Dafne Keen",54.6,Very High,7.6,Very High
118340,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.","Action,Science Fiction,Adventure",2014,"marvel comic,spaceship,space,outer space,orphan,adventurer,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe",James Gunn,"Chris Pratt,Zoe Saldana,Dave Bautista",53.3,Very High,7.9,Very High
403119,en,47 Meters Down,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.","Drama,Thriller,Horror,Adventure",2017,"diving,sister sister relationship,shark attack,cage,shark,trapped underwater ",Johannes Roberts,"Claire Holt,Mandy Moore,Chris Johnson",52.9,Very High,5.1,Low
278,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","Drama,Crime",1994,"prison,corruption,police brutality,prison cell,delinquent,parole board,escape from prison,wrongful imprisonment,framed for murder,1940s",Frank Darabont,"Tim Robbins,Morgan Freeman,Bob Gunton",51.6,Very High,8.5,Very High
360249,no,Birkebeinerne,Year 1206. Norway is ravaged by civil war. The King's illegitimate son is guarded in deep secret. A boy that half of the kingdom wants to kill and two men will protect to the death. A boy named Earl Håkonsson. Birkebeiners is the story of the escape that changed Norway's history forever.,"Action,Adventure,Drama",2016,"civil war,norway,kingdom,viking,snow,vikings",Nils Gaup,"Kristofer Hivju,Jakob Oftebro,Pål Sverre Hagen",50.9,Very High,5.2,Low
353491,en,The Dark Tower,"The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O’Dim, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black.","Action,Western,Science Fiction,Fantasy,Horror",2017,"gunslinger,based on novel",Nikolaj Arcel,"Idris Elba,Matthew McConaughey,Tom Taylor",50.9,Very High,5.7,Low
324552,en,John Wick: Chapter 2,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.","Thriller,Action,Crime",2017,"italy,gun,roof,party,sequel,handshake",Chad Stahelski,"Keanu Reeves,Common,Laurence Fishburne",49.2,Very High,6.7,High
337339,en,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.","Action,Crime,Thriller",2017,"submarine,sequel,betrayal,fast cars,rescue mission,new york city,criminal mastermind,mysterious woman,3d",F. Gary Gray,"Vin Diesel,Jason Statham,Dwayne Johnson",48.6,Very High,6.8,High
13,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","Comedy,Drama,Romance",1994,"vietnam veteran,hippie,mentally disabled,running,based on novel,vietnam,vietnam war,friendship,love,family relationships,bully,mother son relationship,military,hugging,shrimping,wounded soldier,flashback,park bench,amputee",Robert Zemeckis,"Tom Hanks,Robin Wright,Gary Sinise",48.3,Very High,8.2,Very High
22,en,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.","Adventure,Fantasy,Action",2003,"exotic island,blacksmith,east india trading company,gold,marriage proposal,mutiny,jamaica,skeleton,daughter,governor,wooden eye,gold coin,pirate,alcoholic,swashbuckler,caribbean,aftercreditsstinger,pirate ship,capuchin monkey,tortuga",Gore Verbinski,"Johnny Depp,Geoffrey Rush,Orlando Bloom",47.3,Very High,7.5,Very High
460846,en,Security,"An ex-special services veteran, down on his luck and desperate for work, takes a job as a security guard at a run-down mall in a rough area of town. On his first night on the job, he opens the door to a distraught and desperate young girl who has fled the hijacking of a Police motorcade that was transporting her to testify as a witness in a trial. Hot on her heels is the psychopathic hijacker and his team of henchmen, who will stop at nothing to extract and eliminate the witness.",Action,2017,,Alain Desrochers,"Antonio Banderas,Ben Kingsley,Liam McIntyre",47.1,Very High,6.0,Average
258489,en,The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","Action,Adventure",2016,"africa,feral child,tarzan,jungle,animal attack",David Yates,"Alexander Skarsgård,Margot Robbie,Christoph Waltz",45.4,Very High,5.5,Low
274857,en,King Arthur: Legend of the Sword,"When the child Arthur’s father is murdered, Vortigern, Arthur’s uncle, seizes the crown. Robbed of his birthright and with no idea who he truly is, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword Excalibur from the stone, his life is turned upside down and he is forced to acknowledge his true legacy... whether he likes it or not.","Action,Drama,Fantasy",2017,"sword,king arthur,period drama,3d",Guy Ritchie,"Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law",44.3,Very High,6.5,High
284052,en,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under his wing and trains him to defend the world against evil.","Action,Adventure,Fantasy,Science Fiction",2016,"magic,marvel comic,superhero,based on comic,sorcerer,doctor,neurosurgeon,wizard,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe",Scott Derrickson,"Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams",43.8,Very High,7.1,Very High
297761,en,Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.","Action,Adventure,Crime,Fantasy,Science Fiction",2016,"dc comics,shared universe,anti hero,secret mission,villain,superhero,supervillain,dc extended universe",David Ayer,"Will Smith,Margot Robbie,Joel Kinnaman",43.0,Very High,5.9,Average
214756,en,Ted 2,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Comedy,2015,"sperm bank,sequel,buddy,courthouse,teddy bear,aftercreditsstinger,toy comes to life,married",Seth MacFarlane,"Mark Wahlberg,Seth MacFarlane,Amanda Seyfried",42.1,Very High,6.2,Average
11,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"Adventure,Action,Science Fiction",1977,"android,galaxy,hermit,death star,lightsaber,jedi,rescue mission,empire,rebellion,planet,smuggler,the force,space opera,galactic war,stormtrooper,totalitarianism",George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher",42.1,Very High,8.1,Very High
424,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"Drama,History,War",1993,"factory,concentration camp,hero,holocaust,world war ii,nazis,defense industry,biography,the holocaust",Steven Spielberg,"Liam Neeson,Ben Kingsley,Ralph Fiennes",41.7,Very High,8.3,Very High
61791,en,Rise of the Planet of the Apes,"Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects – especially Caesar, his pet chimpanzee.","Thriller,Action,Drama,Science Fiction",2011,"intelligence,zoo,cage,dystopia,golden gate bridge,ape,monkey,medical research,alzheimer's disease",Rupert Wyatt,"James Franco,Freida Pinto,John Lithgow",41.6,Very High,7.0,High
294254,en,Maze Runner: The Scorch Trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",Action,2015,"based on novel,resistance,maze,post-apocalyptic,dystopia,infection,on the run,escape,zombie,storm,disease,desert,sewer,antidote,corporation,virus,runner,city ruin,immunity",Wes Ball,"Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster",41.2,Very High,6.5,High
259316,en,Fantastic Beasts and Where to Find Them,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.","Adventure,Family,Fantasy",2016,"robbery,magic,teleportation,suitcase,new york city,subway station,central park,wizard,goblin,magical creature",David Yates,"Eddie Redmayne,Colin Farrell,Katherine Waterston",41.1,Very High,7.2,Very High
238,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","Drama,Crime",1972,"italy,love at first sight,loss of father,patriarch,organized crime,mafia,lawyer,italian american,crime family,rise to power,mob boss,1940s",Francis Ford Coppola,"Marlon Brando,Al Pacino,James Caan",41.1,Very High,8.5,Very High
129,ja,千と千尋の神隠し,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,"Fantasy,Adventure,Animation,Family",2001,"witch,parent child relationship,magic,darkness,bath house,ghost world,parallel world,amusement park,youkai,japanese mythology,anime,spirits",Hayao Miyazaki,"Rumi Hiiragi,Miyu Irino,Mari Natsuki",41.0,Very High,8.3,Very High
395834,en,Wind River,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,"Action,Crime,Mystery,Thriller",2017,"rape,mountain,gun,investigation,murder,native american,shootout,photograph,violence,fbi agent,binoculars,snowmobile,indian reservation",Taylor Sheridan,"Jeremy Renner,Elizabeth Olsen,Gil Birmingham",40.8,Very High,7.4,Very High
291805,en,Now You See Me 2,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.","Action,Adventure,Comedy,Crime,Mystery,Thriller",2016,"london england,china,magic,secret society,vigilante,sequel,revenge,heist,on the run,macau china,magician",Jon M. Chu,"Jesse Eisenberg,Woody Harrelson,Mark Ruffalo",39.5,Very High,6.7,High
637,it,La vita è bella,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,"Comedy,Drama",1997,"italy,riddle,bookshop,self sacrifice,mass murder,concentration camp,bicycle accident,fascism,loss of father,world war ii,love of one's life,deportation,jew persecution,fantasy,nazis,national socialism,charade,riding a bicycle,price,story teller,concentration camp prisoner,dying and death,peekaboo",Roberto Benigni,"Nicoletta Braschi,Roberto Benigni,Giorgio Cantarini",39.4,Very High,8.3,Very High
335988,en,Transformers: The Last Knight,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.","Action,Science Fiction,Thriller,Adventure",2017,"knight,transformers",Michael Bay,"Mark Wahlberg,Josh Duhamel,Laura Haddock",39.2,Very High,6.2,Average
397837,en,Before I Fall,"Samantha Kingston has everything. Then, everything changes. After one fateful night, she wakes up with no future at all. Trapped into reliving the same day over and over, she begins to question just how perfect her life really was.","Mystery,Drama,Thriller",2017,"based on novel,time loop,teenager,mumblecore,teen drama,based on young adult novel",Ry Russo-Young,"Zoey Deutch,Halston Sage,Logan Miller",39.0,Very High,6.8,High
671,en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.","Adventure,Fantasy,Family",2001,"witch,christmas party,magic,cutting the cord,halloween,child hero,broom,chosen one,frog,fantasy world,based on young adult novel",Chris Columbus,"Daniel Radcliffe,Rupert Grint,Emma Watson",38.2,Very High,7.5,Very High
417870,en,Girls Trip,"Four girlfriends take a trip to New Orleans for an annual festival and, along the way, rediscover their wild sides and strengthen the bonds of sisterhood.",Comedy,2017,,Malcolm D. Lee,"Regina Hall,Queen Latifah,Jada Pinkett Smith",38.0,Very High,7.1,Very High
269795,en,2:22,"A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.","Drama,Thriller",2017,,Paul Currie,"Michiel Huisman,Teresa Palmer,Sam Reid",37.5,Very High,5.5,Low
99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","Action,Adventure,Science Fiction",2015,"marvel comic,sequel,superhero,based on comic,vision,superhero team,duringcreditsstinger,marvel cinematic universe,3d",Joss Whedon,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",37.4,Very High,7.3,Very High
419430,en,Get Out,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","Mystery,Thriller,Horror",2017,"externally controlled action,parents-in-law,satire,dark comedy,interracial relationship,disappearance,racism,african american,stereotype,police harassment,missing,race-conscious",Jordan Peele,"Daniel Kaluuya,Allison Williams,Bradley Whitford",36.9,Very High,7.2,Very High
